Country Name,Continent,Country Code,Capital City,Latitudeof Capital,Longitudeof Capital,GDP,Industrialproductiongrowthrate,Electricity-production,Electricity-consumption,Electricity-imports,Electricity-installedgeneratingcapacity,Electricity-fromfossilfuels,Electricity-fromnuclearfuels,Electricity-fromhydroelectricplants,Electricity-fromotherrenewablesources,Crudeoil-production,Crudeoil-exports,Crudeoil-imports,Crudeoil-provedreserves,Refinedpetroleumproducts-production,Refinedpetroleumproducts-consumption,Refinedpetroleumproducts-exports,Refinedpetroleumproducts-imports,Naturalgas-production,Naturalgas-consumption,Naturalgas-exports,Naturalgas-imports,Naturalgas-provedreserves,Carbondioxideemissionsfromconsumptionofenergy,Population,Populationgrowthrate,F33,Emission-perperson,F35,Total Renewable Electricity,F37,F38,Restof World,Canada,China,Greenland,Japan,Russia,South Africa,United States,F47,Total Electricity,F49,F50,Country,Energy,Sourced,Country(or dependency),Population(2020),Yearly Change,Net Change,Density Square Km,Land Area Square Km,Migrants(net),FertRate,Med.Age,UrbanPop,World Share,Normalised Population
Uganda,Africa,UG,Kampala,0 19 N,32 33 E,"2,400",4.4,"3,463,000,000.00","3,106,000,000.00","50,000,000","1,020,000",19,0,68,12,0,0,0,"2,500,000,000",0,"32,000",0,"31,490",0,0,0,0,"14,160,000,000.00","4,703,000","40,853,749",3,null,0,null,80,null,null,null,null,null,null,null,null,null,null,null,99,null,null,null,null,null,Uganda,"45,974,931",332,"1,471,413.00",229,"199,810.00","168,694.00",5,17,2600,59,230.09
Argentina,South America,AR,Buenos Aires,34 35 S,58 40 W,"20,900",2.7,"132,000,000,000.00","121,000,000,000.00","9,851,000,000","38,350,000",69,4,24,3,"489,000","36,630","16,740","2,162,000,000","669,800","806,000","58,360","121,400","40,920,000,000","49,040,000,000.00","76,450,000","9,826,000,000.00","337,000,000,000.00","203,700,000","44,694,198",1,null,5,null,31,null,null,null,null,null,null,null,null,null,null,null,100,null,null,China,Hydroelectric,18,Argentina,"45,267,449",93,"415,097.00",17,"2,736,690.00","4,800.00",2.3,32,9300,58,16.54
Algeria,Africa,DZ,Algiers,36 45 N,3 03 E,"15,200",0.6,"66,890,000,000.00","55,960,000,000.00","257,000,000","19,270,000",96,0,1,2,"1,259,000","756,400","5,340","12,200,000,000","627,900","405,000","578,800","82,930","93,500,000,000","41,280,000,000.00","53,880,000,000",0,"4,500,000,000,000.00","135,900,000","41,657,488",2,null,3,null,3,null,null,null,null,null,null,null,null,null,null,null,99,null,null,Canada,Hydroelectric,56,Algeria,"43,984,569",185,"797,990.00",18,"2,381,740.00","-10,000.00",3.1,29,7300,56,18.47
Sudan,Africa,SD,Khartoum,15 36 N,32 32 E,"4,300",4.5,"13,990,000,000.00","12,120,000,000.00",0,"3,437,000",44,0,51,6,"95,000","19,540","9,440","5,000,000,000","94,830","112,000","8,541","24,340",0,0,0,0,"84,950,000,000.00","16,030,000","43,120,843",3,null,0,null,57,null,null,null,null,null,null,null,null,null,null,null,101,null,null,null,null,null,Sudan,"44,019,263",242,"1,036,022.00",25,"1,765,048.00","-50,000.00",4.4,20,3500,56,24.94
Ukraine,Europe,UA,Kyiv,50 26 N,30 31 E,"8,800",3.1,"154,000,000,000.00","133,000,000,000.00","77,000,000","57,280,000",65,23,8,3,"32,000",413,"4,720","395,000,000","63,670","233,000","1,828","167,000","19,730,000,000","30,920,000,000.00",0,"12,970,000,000.00","1,100,000,000,000.00","238,900,000","43,952,299",0.04,null,5,null,34,null,null,null,null,null,null,null,null,null,null,null,99,null,null,null,null,null,Ukraine,"43,686,577",-59,"-259,876.00",75,"579,320.00","10,000.00",1.4,41,6900,56,75.41
Iraq,Asia,IQ,Baghdad,33 20 N,44 24 E,"16,700",0.7,"75,450,000,000.00","38,460,000,000.00","11,970,000,000","27,090,000",91,0,9,0,"4,613,000","3,092,000",0,"149,000,000,000","398,000","826,000","8,284","255,100","1,274,000,000","2,633,000,000.00",0,"1,359,000,000.00","3,820,000,000,000.00","117,900,000","40,194,216",3,null,3,null,9,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Iraq,"40,372,771",232,"912,710.00",93,"434,320.00","7,834.00",3.7,21,7300,52,92.96
Afghanistan,Asia,AF,Kabul,34 31 N,69 11 E,"2,000",-1.9,"1,211,000,000.00","5,526,000,000.00","4,400,000,000","634,100",45,0,52,4,0,0,0,0,0,"35,000",0,"34,210","164,200,000","164,200,000.00",0,0,"49,550,000,000.00","9,067,000","34,940,837",2,null,0,null,56,null,null,"11,670,000,000","640,600,000.00","11,670,000,000","847,600,000","1,268,000,000","1,847,000,000.00","657,100,000","5,242,000,000",null,101,null,null,Canada,Fossil,23,Afghanistan,"39,074,280",233,"886,592.00",60,"652,860.00","-62,920.00",4.6,18,2500,50,59.85
Poland,Europe,PL,Warsaw,52 15 N,21 00 E,"29,600",7.5,"157,000,000,000.00","149,000,000,000.00","14,020,000,000","38,110,000",79,0,2,19,"21,000","4,451","493,100","126,000,000","554,200","649,600","104,800","222,300","5,748,000,000.00","20,100,000,000.00","1,246,000,000","15,720,000,000.00","79,790,000,000.00","359,000,000","38,420,687",0,null,9,null,21,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Poland,"37,839,255",-11,"-41,157",124,"306,230.00","-29,395",1.4,42,"6,000",49,123.56
Canada,North America,CA,Ottawa,45 25 N,75 42 W,"48,400",4.9,"650,000,000,000.00","522,000,000,000.00","2,682,000,000","143,500,000",23,9,56,12,"4,264,000","2,818,000","806,700","171,000,000,000","2,009,000","2,445,000","1,115,000","405,700","159,000,000,000","124,000,000,000.00","83,960,000,000","26,360,000,000.00","2,060,000,000,000.00","640,600,000","35,881,659",1,null,18,null,77,null,null,null,null,null,null,null,null,null,null,null,100,null,null,United States,Renewable,14,Canada,"37,799,407",89,"331,107.00",4,"9,093,510.00","242,032.00",1.5,41,8100,48,4.16
Morocco,Africa,MA,Rabat,34 01 N,6 49 W,"8,600",2.8,"28,750,000,000.00","28,250,000,000.00","5,289,000,000","8,303,000",68,0,16,15,160,0,"61,160","684,000","66,230","278,000","9,504","229,300","87,780,000","1,218,000,000.00",0,"1,133,000,000.00","1,444,000,000.00","55,400,000","34,314,130",1,null,2,null,31,null,null,null,null,null,null,null,null,null,null,null,99,null,null,null,null,null,Morocco,"36,985,624",120,"438,791.00",83,"446,300.00","-51,419.00",2.4,30,6400,47,82.87
