Country Name,Continent,Country Code,Capital City,Latitudeof Capital,Longitudeof Capital,GDP,Industrialproductiongrowthrate,Electricity-production,Electricity-consumption,Electricity-imports,Electricity-installedgeneratingcapacity,Electricity-fromfossilfuels,Electricity-fromnuclearfuels,Electricity-fromhydroelectricplants,Electricity-fromotherrenewablesources,Crudeoil-production,Crudeoil-exports,Crudeoil-imports,Crudeoil-provedreserves,Refinedpetroleumproducts-production,Refinedpetroleumproducts-consumption,Refinedpetroleumproducts-exports,Refinedpetroleumproducts-imports,Naturalgas-production,Naturalgas-consumption,Naturalgas-exports,Naturalgas-imports,Naturalgas-provedreserves,Carbondioxideemissionsfromconsumptionofenergy,Population,Populationgrowthrate,F33,Emission-perperson,F35,Total Renewable Electricity,F37,F38,Restof World,Canada,China,Greenland,Japan,Russia,South Africa,United States,F47,Total Electricity,F49,F50,Country,Energy,Sourced,Country(or dependency),Population(2020),Yearly Change,Net Change,Density Square Km,Land Area Square Km,Migrants(net),FertRate,Med.Age,UrbanPop,World Share,Normalised Population
Saudi Arabia,Asia,SA,Riyadh,24 39 N,46 42 E,"54,500",-2.4,"324,000,000,000.00","296,000,000,000.00",0,"82,940,000",100,0,0,0,"10,425,000","7,341,000",0,"266,000,000,000","2,476,000","3,287,000","1,784,000","609,600","109,000,000,000","109,000,000,000.00",0,0,"8,620,000,000,000.00","657,100,000","33,091,113",2,null,20,null,0,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Saudi Arabia,"34,905,942",159,"545,343.00",16,"2,149,690.00","134,979.00",2.3,32,8400,45,16.24
Uzbekistan,Asia,UZ,Tashkent,41 19 N,69 15 E,"6,900",4.5,"55,550,000,000.00","49,070,000,000.00","10,840,000,000","12,960,000",86,0,14,0,"41,000","27,000",420,"594,000,000","61,740","60,000","3,977",0,"52,100,000,000","43,070,000,000.00","9,401,000,000",0,"1,840,000,000,000.00","95,580,000","30,023,709",0.91,null,3,null,14,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Uzbekistan,"33,551,824",148,"487,487.00",79,"425,400.00","-8,863.00",2.4,28,5000,43,78.87
Peru,South America,PE,Lima,12 03 S,77 03 W,"13,500",2.7,"50,130,000,000.00","44,610,000,000.00","22,000,000","14,730,000",61,0,35,4,"49,000","7,995","86,060","434,900,000","166,600","250,000","62,640","65,400","12,990,000,000","7,483,000,000.00","5,505,000,000",0,"456,000,000,000.00","55,940,000","31,331,228",1,null,2,null,39,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Peru,"33,050,211.00",142,"461,401.00",26,"1,280,000.00","99,069.00",2.3,31,7900,42,25.82
Angola,Africa,AO,Luanda,8 50 S,13 13 E,"6,800",2.5,"10,200,000,000.00","9,036,000,000.00",0,"2,613,000",34,0,64,2,"1,593,000","1,782,000",0,"9,523,000,000","53,480","130,000","30,340","111,600","3,115,000,000","821,200,000.00","3,993,000,000",0,"308,000,000,000.00","20,950,000","30,355,880",3,null,1,null,66,null,null,null,null,null,null,null,null,null,null,null,100,null,null,China,Fossil,62,Angola,"33,032,075",327,"1,040,977.00",26,"1,246,700.00","6,413.00",5.6,17,6700,42,26.5
Malaysia,Asia,MY,Kuala Lumpur,3 10 N,101 42 E,"29,100",5,"148,000,000,000.00","137,000,000,000.00","33,000,000","33,000,000",78,0,18,4,"647,000","326,200","166,000","3,600,000,000","528,300","704,000","208,400","304,600","69,490,000,000","30,440,000,000.00","38,230,000,000","2,803,000,000.00","1,180,000,000,000.00","226,800,000","31,809,660",1.34,null,7,null,22,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Malaysia,"32,436,963",130,"416,222.00",99,"328,550.00","50,000.00",2,30,7800,42,98.73
Mozambique,Africa,MZ,Maputo,25 57 S,32 35 E,"1,300",4.9,"18,390,000,000.00","11,570,000,000.00","9,928,000,000","2,626,000",16,0,83,1,0,0,0,0,0,"26,000",0,"25,130","6,003,000,000","1,841,000,000.00","4,162,000,000",0,"2,830,000,000,000.00","11,120,000","27,233,789",2,null,0,null,84,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Mozambique,"31,398,811",293,"889,399.00",40,"786,380.00","-5,000.00",4.9,18,3800,40,39.93
Ghana,Africa,GH,Accra,5 33 N,0 13 W,"4,700",16.7,"12,520,000,000.00","9,363,000,000.00","511,000,000","3,801,000",58,0,42,1,"173,000","104,000","6,220","660,000,000","2,073","90,000","2,654","85,110","914,400,000.00","1,232,000,000.00",0,"317,400,000.00","22,650,000,000.00","13,670,000","28,102,471",2,null,0,null,43,null,null,null,null,null,null,null,null,null,null,null,101,null,null,null,null,null,Ghana,"31,181,428",215,"655,084.00",137,"227,540.00","-10,000.00",3.9,22,5700,40,137.04
Yemen,Asia,YE,Sanaa,15 21 N,44 12 E,"2,500",8.9,"4,784,000,000.00","3,681,000,000.00",0,"1,819,000",79,0,0,21,"61,000","8,990",0,"3,000,000,000","20,180","104,000","12,670","75,940","481,400,000","481,400,000.00",0,0,"479,000,000,000.00","13,680,000","28,667,230",2,null,0,null,21,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Yemen,"29,935,468",228,"664,042.00",56,"527,970.00","-30,000.00",3.8,20,3800,38,56.7
Nepal,Asia,NP,Kathmandu,27 43 N,85 19 E,"2,700",12.4,"4,244,000,000.00","4,983,000,000.00","2,175,000,000","943,100",5,0,92,3,0,0,0,0,0,"27,000",0,"26,120",0,0,0,0,0,"8,396,000","29,717,587",1.09,null,0,null,95,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Nepal,"29,225,196",185,"528,098.00",203,"143,350.00","41,710.00",1.9,25,2100,37,203.87
Venezuela,South America,VE,Caracas,10 29 N,66 52 W,"12,500",-2,"109,000,000,000.00","71,960,000,000.00",0,"31,000,000",51,0,49,0,"1,484,000","1,656,000",0,"302,000,000,000","926,300","659,000","325,800","20,640","27,070,000,000.00","24,210,000,000.00",0,0,"5,740,000,000,000.00","129,900,000","31,689,176",1,null,4,null,49,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Venezuela,"28,421,581",-28,"-79,889.00",32,"882,050.00","-653,249.00",2.3,30,N.A.,36,32.22
Madagascar,Africa,MG,Antananarivo,18 55 S,47 31 E,"1,600",5.2,"1,706,000,000.00","1,587,000,000.00",0,"675,400",74,0,24,2,0,0,0,0,0,"18,000",0,"18,880",0,0,0,0,0,"4,021,000","25,683,610",2.46,null,0,null,26,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Madagascar,"27,808,395",268,"721,711.00",48,"581,795.00","-1,500.00",4.1,20,3900,36,47.8
Cameroon,Africa,CM,Yaounde,3 52 N,11 31 E,"3,700",3.3,"8,108,000,000.00","6,411,000,000.00","55,000,000","1,558,000",52,0,47,1,"69,000","96,370","36,480","200,000,000","39,080","45,000","8,545","14,090","910,400,000.00","906,100,000.00",0,0,"135,000,000,000.00","7,672,000","25,640,965",2.54,null,0,null,48,null,null,null,null,null,null,null,null,null,null,null,100,null,null,United States,Hydroelectric,7,Cameroon,"26,655,083",259,"669,483.00",56,"472,710.00","-4,800.00",4.6,19,5600,34,56.39
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Côte d'Ivoire,"26,486,282",257,"661,730.00",83,"318,000.00","-8,000.00",4.7,19,5100,34,83.29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Korea,"25,798,588.00",44,"112,655.00",214,"120,410.00","-5,403.00",1.9,35,6300,33,214.26
Australia,Oceania,AU,Canberra,35 16 S,149 08 E,"50,400",1.4,"243,000,000,000.00","229,000,000,000.00",0,"65,560,000",72,0,11,17,"284,000","192,500","341,700","1,821,000,000.00","462,500","1,175,000","64,120","619,600","105,000,000,000.00","45,250,000,000.00","67,960,000,000.00","5,776,000,000.00","1,990,000,000,000.00","439,100,000","23,470,145",1.01,null,18.7089,null,28,null,null,null,null,null,null,null,null,null,null,null,100,null,null,Germany,Fossil,41,Australia,"25,550,683.00",118,"296,686.00",3,"7,682,300.00","158,246.00",1.8,38,8600,33,3.33
Niger,Africa,NE,Niamey,13 31 N,2 07 E,"1,200",6,"494,700,000.00","1,065,000,000.00","779,000,000","184,000",95,0,0,5,"9,000",0,0,"150,000,000","15,280","14,000","5,422","3,799",0,0,0,0,0,"2,534,000","19,866,231",3.16,null,0,null,5,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Niger,"24,346,468",384,"895,929.00",19,"1,266,700.00","4,000.00",7,15,1700,31,19.22
Taiwan,Asia,TW,Taipei,25 02 N,121 31 E,"50,500",3.9,"246,000,000,000.00","237,000,000,000.00",0,"49,520,000",79,11,4,6,196,0,"846,400","2,380,000","924,000","962,400","349,600","418,300","237,900,000","22,450,000,000.00",0,"22,140,000,000.00","6,229,000,000.00","348,800,000","23,545,963",0,null,15,null,21,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Taiwan,"23,824,369",18,"42,899.00",673,"35,410.00","30,001.00",1.2,42,7900,31,672.81
Sri Lanka,Asia,LK,Colombo,6 55 N,79 50 E,"12,900",4.6,"13,660,000,000.00","12,670,000,000.00",0,"3,998,000",52,0,42,6,0,0,"33,540",0,"34,210","116,000","3,871","66,280",0,0,0,0,0,"25,190,000","22,576,592",0.73,null,1,null,48,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Sri Lanka,"21,428,970",42,"89,516.00",341,"62,710.00","-97,986.00",2.2,34,1800,27,341.72
Burkina Faso,Africa,BF,Ouagadougou,12 22 N,1 31 W,"1,900",10.4,"990,000,000.00","1,551,000,000.00","630,000,000","342,400",80,0,9,12,0,0,0,0,0,"23,000",0,"23,580",0,0,0,0,0,"3,421,000","19,742,715",2.76,null,0,null,21,null,null,null,null,null,null,null,null,null,null,null,101,null,null,Saudi Arabia,Hydroelectric,0,Burkina Faso,"20,997,293",286,"581,895.00",76,"273,600.00","-25,000.00",5.2,18,3100,27,76.74
Mali,Africa,ML,Bamako,12 39 N,8 00 W,"2,200",6.3,"2,489,000,000.00","2,982,000,000.00","800,000,000","590,000",68,0,31,1,0,0,0,0,0,"22,000",0,"20,610",0,0,0,0,0,"3,388,000","18,429,893",3,null,0,null,32,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Mali,"20,346,106",302,"592,802.00",17,"1,220,190.00","-40,000.00",5.9,16,4400,26,16.67
Romania,Europe,RO,Bucharest,44 26 N,26 06 E,"24,600",5.5,"61,780,000,000.00","49,640,000,000.00","4,177,000,000","23,940,000",47,6,29,19,"70,000","2,076","145,300","600,000,000","232,600","198,000","103,000","49,420","10,870,000,000.00","11,580,000,000.00","22,650,000","1,218,000,000.00","106,000,000,000.00","72,070,000","21,457,116",0,null,3,null,54,null,null,null,null,null,null,null,null,null,null,null,101,null,null,null,null,null,Romania,"19,214,608",-66,"-126,866.00",84,"230,170.00","-73,999.00",1.6,43,5500,25,83.48
Malawi,Africa,MW,Lilongwe,13 58 S,33 47 E,"1,200",1.2,"1,420,000,000.00","1,321,000,000.00",0,"375,000",1,0,93,6,0,0,0,0,0,"6,000",0,"4,769",0,0,0,0,0,"1,082,000","19,842,560",3,null,0,null,99,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Malawi,"19,211,425",269,"501,205.00",203,"94,280.00","-16,053.00",4.3,18,1800,25,203.77
Chile,South America,CL,Santiago,33 27 S,70 40 W,"24,600",-0.4,"76,090,000,000.00","73,220,000,000.00",0,"24,530,000",59,0,26,15,"3,000",0,"169,600","150,000,000","216,200","354,500","7,359","166,400","1,218,000,000.00","5,125,000,000.00","277,500,000","4,446,000,000.00","97,970,000,000.00","88,230,000","17,925,262",0.75,null,5,null,41,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Chile,"19,144,605",87,"164,163.00",26,"743,532.00","111,708.00",1.7,35,8500,25,25.75
Kazakhstan,Asia,KZ,Astana,51 10 N,71 25 E,"26,300",5.8,"101,000,000,000.00","94,230,000,000.00","1,318,000,000","20,150,000",86,0,14,1,"1,856,000","1,409,000","1,480","30,000,000,000","290,700","274,000","105,900","39,120","22,410,000,000","15,370,000,000.00","12,800,000,000","5,748,000,000.00","2,410,000,000,000.00","304,600,000","18,744,548",0.98,null,16,null,15,null,null,null,null,null,null,null,null,null,null,null,101,null,null,null,null,null,Kazakhstan,"18,815,231",121,"225,280.00",7,"2,699,700.00","-18,000.00",2.8,31,5800,24,6.97
Zambia,Africa,ZM,Lusaka,15 25 S,28 17 E,"4,000",4.7,"11,550,000,000.00","11,040,000,000.00","2,185,000,000","2,573,000",5,0,93,2,0,0,"12,860",0,"13,120","23,000",371,"10,150",0,0,0,0,0,"3,777,000","16,445,079",3,null,0,null,95,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Zambia,"18,468,257",293,"522,925.00",25,"743,390.00","-8,000.00",4.7,18,4500,24,24.84
Guatemala,North America,GT,Guatemala City,14 37 N,90 31 W,"8,200",1.8,"12,120,000,000.00","10,100,000,000.00","747,000,000","4,605,000",41,0,31,28,"9,600","9,383",0,"83,070,000","1,162","89,000","10,810","97,900",0,0,0,0,"2,960,000,000.00","17,150,000","16,581,273",2,null,1,null,59,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Guatemala,"17,971,382",190,"334,096.00",167,"107,160.00","-9,215.00",2.9,23,5200,23,167.71
Ecuador,South America,EC,Quito,0 13 S,78 30 W,"11,500",-0.6,"26,500,000,000.00","22,680,000,000.00","82,000,000","8,192,000",43,0,54,2,"517,000","383,500",0,"8,273,000,000","137,400","265,000","25,870","153,900","477,800,000","453,100,000.00",0,0,"10,900,000,000.00","37,540,000","16,498,502",1,null,2,null,56,null,null,null,null,null,null,null,null,null,null,null,99,null,null,null,null,null,Ecuador,"17,688,599",155,"269,392.00",71,"248,360.00","36,400.00",2.4,28,6300,23,71.22
Syria,Asia,SY,Damascus,33 30 N,36 18 E,"2,900",4.3,"17,070,000,000.00","14,160,000,000.00",0,"9,058,000",83,0,17,0,"25,000",0,"87,660","2,500,000,000","111,600","134,000","12,520","38,080","3,738,000,000","3,738,000,000.00",0,0,"241,000,000,000.00","27,510,000","19,454,263",7,null,1,null,17,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Syria,"17,571,053",252,"430,523.00",95,"183,630.00","-427,391.00",2.8,26,6000,22,95.69
Netherlands,Europe,NL,Amsterdam,52 21 N,4 55 E,"53,900",3.3,"109,000,000,000.00","109,000,000,000.00","24,260,000,000","34,170,000",75,1,0,23,"18,000","7,984","1,094,000","81,130,000","1,282,000","954,500","2,406,000","2,148,000","45,330,000,000","43,380,000,000.00","51,250,000,000","51,000,000,000.00","801,000,000,000.00","250,200,000","17,151,228",0.38,null,15,null,24,null,null,null,null,null,null,null,null,null,null,null,99,null,null,null,null,null,Netherlands,"17,141,544",22,"37,742.00",508,"33,720.00","16,000.00",1.7,43,9200,22,508.35
Senegal,Africa,SN,Dakar,14 44 N,17 38 W,"3,500",7.7,"4,167,000,000.00","3,497,000,000.00",0,"977,000",82,0,7,11,0,0,"17,880",0,"17,590","48,000","4,063","32,050","59,460,000","59,460,000.00",0,0,0,"8,644,000","15,020,945",2,null,1,null,18,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Senegal,"16,816,539",275,"447,563.00",87,"192,530.00","-20,000.00",4.7,19,4900,21,87.35
Cambodia,Asia,KH,Phnom Penh,11 33 N,104 55 E,"4,000",10.6,"5,210,000,000.00","5,857,000,000.00","1,583,000,000","1,697,000",35,0,63,2,0,0,0,0,0,"45,000",0,"43,030",0,0,0,0,0,"10,550,000","16,449,519",1.48,null,1,null,65,null,null,null,null,null,null,null,null,null,null,null,100,null,null,United States,Nuclear,9,Cambodia,"16,758,448",141,"232,423.00",95,"176,520.00","-30,000.00",2.5,26,2400,21,94.94
Chad,Africa,TD,N'Djamena,12 06 N,15 02 E,"2,300",-4,"224,300,000.00","208,600,000.00",0,"48,200",98,0,0,3,"132,000","70,440",0,"1,500,000,000",0,"2,300",0,"2,285",0,0,0,0,0,"342,200","15,833,116",3,null,0,null,3,null,null,null,null,null,null,null,null,null,null,null,101,null,null,null,null,null,Chad,"16,502,877",300,"478,988.00",13,"1,259,200.00","2,000.00",5.8,17,2300,21,13.11
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Somalia,"15,965,848",292,"450,317.00",25,"627,340.00","-40,000.00",6.1,17,4700,20,25.45
Zimbabwe,Africa,ZW,Harare,17 49 S,31 02 E,"2,300",0.3,"6,800,000,000.00","7,118,000,000.00","2,220,000,000","2,122,000",58,0,37,5,0,0,0,0,0,"27,000",0,"26,400",0,0,0,0,0,"12,060,000","14,030,368",1.68,null,0.8596,null,42,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Zimbabwe,"14,899,771.00",148,"217,456.00",38,"386,850.00","-116,858.00",3.6,19,3800,19,38.52
Guinea,Africa,GN,Conakry,9 30 N,13 42 W,"2,200",11,"598,000,000.00","556,100,000.00",0,"550,000",33,0,67,0,0,0,0,0,0,"19,000",0,"18,460",0,0,0,0,0,"2,794,000","11,855,411",3,null,0,null,67,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Guinea,"13,191,279",283,"361,549.00",53,"245,720.00","-4,000.00",4.7,18,3900,17,53.68
Rwanda,Africa,RW,Kigali,1 57 S,30 03 E,"2,100",4.2,"525,000,000.00","527,300,000.00","42,000,000","191,000",42,0,51,7,0,0,0,0,0,"6,700",0,"6,628",0,0,0,0,"56,630,000,000.00","985,600","12,187,400",2.3,null,0,null,58,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Rwanda,"13,005,303",258,"325,268.00",525,"24,670.00","-9,000.00",4.1,20,1800,17,527.17
Benin,Africa,BJ,Porto-Novo,6 29 N,2 37 E,"2,300",3,"335,000,000.00","1,143,000,000.00","1,088,000,000","321,000",88,0,9,2,0,0,0,"8,000,000",0,"38,000","1,514","38,040",0,0,0,0,"1,133,000,000.00","5,664,000","11,340,504",3,null,0,null,11,null,null,null,null,null,null,null,null,null,null,null,99,null,null,Japan,Hydroelectric,8,Benin,"12,175,480",273,"322,049.00",108,"112,760.00","-2,000.00",4.9,19,4800,16,107.98
Burundi,Africa,BI,Bujumbura,3 22 S,29 21 E,700,-2,"304,000,000.00","382,700,000.00","100,000,000","68,000",14,0,73,14,0,0,0,0,0,"1,500",0,"1,374",0,0,0,0,0,"217,000","11,844,520",3,null,0,null,87,null,null,null,null,null,null,null,null,null,null,null,101,null,null,Saudi Arabia,Renewable,0,Burundi,"11,948,454",312,"360,204.00",463,"25,680.00","2,001.00",5.5,17,1400,15,465.28
Tunisia,Africa,TN,Tunis,36 48 N,10 11 E,"11,900",0.5,"18,440,000,000.00","15,270,000,000.00","134,000,000","5,768,000",94,0,1,5,"39,000","39,980","17,580","425,000,000","27,770","102,000","13,660","85,340","1,274,000,000.00","5,125,000,000.00",0,"3,851,000,000.00","65,130,000,000.00","23,420,000","11,516,189",1,null,2,null,6,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Tunisia,"11,839,918",106,"123,900.00",76,"155,360.00","-4,000.00",2.2,33,7000,15,76.21
Bolivia,South America,BO,La Paz,16 30 S,68 09 W,"7,600",2.2,"8,951,000,000.00","7,785,000,000.00",0,"2,764,000",76,0,18,7,"60,000","1,274",0,"211,500,000","65,960","83,000","9,686","20,620","18,690,000,000","3,171,000,000.00","15,460,000,000",0,"296,000,000,000.00","17,660,000","11,306,341",1,null,2,null,25,null,null,null,null,null,null,null,null,null,null,null,101,null,null,Russia,Fossil,68,Bolivia,"11,700,207",139,"159,921.00",11,"1,083,300.00","-9,504.00",2.8,26,6900,15,10.8
Belgium,Europe,BE,Brussels,50 50 N,4 20 E,"46,600",0.2,"79,830,000,000.00","82,160,000,000.00","14,650,000,000","21,560,000",35,28,1,36,0,0,"687,600",0,"731,700","648,600","680,800","601,400",0,"17,610,000,000.00","736,200,000","18,090,000,000.00",0,"134,700,000","11,570,762",0.67,null,12,null,65,null,null,null,null,null,null,null,null,null,null,null,100,null,null,Japan,Fossil,71,Belgium,"11,598,451",44,"50,295.00",383,"30,280.00","48,000.00",1.7,42,9800,15,383.04
Haiti,North America,HT,Port-au-Prince,18 32 N,72 20 W,"1,800",0.9,"1,023,000,000.00","406,200,000.00",0,"332,000",82,0,18,0,0,0,0,0,0,"21,000",0,"20,030",0,0,0,0,0,"3,595,000","10,788,440",1,null,0,null,18,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Haiti,"11,426,356",124,"139,451.00",414,"27,560.00","-35,000.00",3,24,5700,15,414.6
Cuba,North America,CU,Havana,23 07 N,82 21 W,"12,300",-1.2,"19,280,000,000.00","16,160,000,000.00",0,"6,998,000",91,0,1,8,"50,000",0,"112,400","124,000,000","104,100","175,000","24,190","52,750","1,189,000,000.00","1,189,000,000.00",0,0,"70,790,000,000.00","26,940,000","11,116,396",-0.27,null,2,null,9,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Cuba,"11,325,391",-6,"-6,867.00",106,"106,440.00","-14,400.00",1.6,42,7800,15,106.4
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Sudan,"11,216,250",119,"131,612.00",18,"610,952.00","-174,200.00",4.7,19,2500,14,18.36
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Dominican Republic,"10,866,667.00",101,"108,952.00",225,"48,320.00","-30,000.00",2.4,28,8500,14,224.89
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Czech Republic (Czechia),"10,712,481.00",18,"19,772.00",139,"77,240.00","22,011.00",1.6,43,7400,14,138.69
Greece,Europe,GR,Athens,37 59 N,23 44 E,"27,800",3.5,"52,050,000,000.00","56,890,000,000.00","9,833,000,000","19,170,000",57,0,14,29,"4,100","3,229","484,300","10,000,000.00","655,400","304,100","371,900","192,200","8,000,000.00","4,927,000,000.00",0,"4,984,000,000.00","991,100,000.00","69,370,000","10,761,523",-0.07,null,6.4461,null,43,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Greece,"10,413,936.00",-48,"-50,401.00",81,"128,900.00","-16,000.00",1.3,46,8500,13,80.79
Jordan,Asia,JO,Amman,31 57 N,35 56 E,"9,200",1.4,"18,600,000,000.00","16,820,000,000.00","334,000,000","4,764,000",87,0,0,12,22,0,"67,980","1,000,000","67,240","139,000",0,"68,460","121,800,000","5,238,000,000.00","1,359,000,000","6,456,000,000.00","6,031,000,000.00","27,390,000","10,458,413",2,null,3,null,12,null,null,null,null,null,null,null,null,null,null,null,99,null,null,null,null,null,Jordan,"10,220,604",100,"101,440.00",115,"88,780.00","10,220.00",2.8,24,9100,13,115.12
Portugal,Europe,PT,Lisbon,38 43 N,9 08 W,"30,500",3.5,"56,900,000,000.00","46,940,000,000.00","4,616,000,000","20,560,000",41,0,25,35,0,0,"285,200",0,"323,000","247,200","143,500","78,700",0,"6,258,000,000.00",0,"6,541,000,000.00",0,"54,970,000","10,355,493",0,null,5,null,60,null,null,null,null,null,null,null,null,null,null,null,101,null,null,null,null,null,Portugal,"10,191,409",-29,"-29,478.00",111,"91,590.00","-6,000.00",1.3,46,6600,13,111.27
Azerbaijan,Asia,AZ,Baku,40 23 N,49 52 E,"17,500",-3.8,"23,570,000,000.00","20,240,000,000.00","114,000,000","7,876,000",84,0,14,2,"798,000","718,800",0,"7,000,000,000","138,900","100,000","46,480","5,576","16,960,000,000.00","10,340,000,000.00","8,042,000,000","2,095,000,000.00","991,000,000,000.00","35,600,000","10,046,516",1,null,4,null,16,null,null,null,null,null,null,null,null,null,null,null,100,null,null,Germany,Hydroelectric,2,Azerbaijan,"10,154,978",91,"91,459.00",123,"82,658.00","1,200.00",2.1,32,5600,13,122.86
Sweden,Europe,SE,Stockholm,59 20 N,18 03 E,"51,200",4.1,"153,000,000,000.00","134,000,000,000.00","14,290,000,000","40,290,000",5,22,42,32,0,"14,570","400,200",0,"413,200","323,100","371,100","229,600",0,"764,500,000.00",0,"764,500,000.00",0,"52,310,000","10,040,995",1,null,5,null,96,null,null,null,null,null,null,null,null,null,null,null,101,null,null,null,null,null,Sweden,"10,110,233",63,"62,886.00",25,"410,340.00","40,000.00",1.9,41,8800,13,24.64
Honduras,North America,HN,Tegucigalpa,14 06 N,87 13 W,"5,600",4.5,"8,501,000,000.00","7,220,000,000.00","195,000,000","2,546,000",40,0,25,34,0,0,0,0,0,"59,000","12,870","56,120",0,0,0,0,0,"9,436,000","9,182,766",2,null,1,null,59,null,null,null,null,null,null,null,null,null,null,null,99,null,null,null,null,null,Honduras,"9,931,333",163,"158,490.00",89,"111,890.00","-6,800.00",2.5,24,5700,13,88.76
United Arab Emirates,Asia,AE,Abu Dhabi,24 28 N,54 22 E,"68,600",1.8,"122,000,000,000.00","113,000,000,000.00","1,141,000,000","28,910,000",99,0,0,1,"3,216,000","2,552,000",0,"97,800,000,000","943,500","896,000","817,700","392,000","62,010,000,000.00","74,480,000,000.00","7,504,000,000","20,220,000,000.00","6,090,000,000,000.00","289,400,000","9,701,315",1,null,30,null,1,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,United Arab Emirates,"9,910,892",123,"119,873.00",118,"83,600.00","40,000.00",1.4,33,8600,13,118.55
Hungary,Europe,HU,Budapest,47 30 N,19 05 E,"29,600",7.4,"30,220,000,000.00","39,370,000,000.00","17,950,000,000","8,639,000",64,22,1,13,"16,000","2,713","121,000","24,000,000","152,400","167,700","58,720","82,110","1,812,000,000","10,390,000,000.00","3,520,000,000","13,370,000,000.00","6,598,000,000.00","51,280,000","9,825,704",0,null,5,null,36,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Hungary,"9,655,983",-25,"-24,328.00",107,"90,530.00","6,000.00",1.5,43,7200,12,106.66
Tajikistan,Asia,TJ,Dushanbe,38 33 N,68 46 E,"3,200",1,"17,030,000,000.00","12,960,000,000.00","103,000,000","5,508,000",6,0,94,0,180,0,0,"12,000,000",172,"24,000",0,"22,460","19,820,000","19,820,000.00",0,0,"5,663,000,000.00","6,329,000","8,604,882",2,null,1,null,94,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,Tajikistan,"9,573,310",232,"216,627.00",68,"139,960.00","-20,000.00",3.6,22,2700,12,68.4
